borehole_id,mine_id,mine_name,easting,northing,depth_m,rock_type,mn_pct,fe_pct,sio2_pct,thickness_m,red,nir,swir,lst,data_origin
BH-INF-138,MN08,Kandri,827.83,10.93,155.77,Quartzite,20.63,22.92,25.99,3.94,0.1322,0.4065,0.2879,34.99,CALIBRATED_EXPLORATION_INFILL
BH-INF-139,MN09,Munsar,593.09,641.2,290.13,Mica Schist,33.95,13.96,26.62,8.61,0.1591,0.4216,0.2605,33.31,CALIBRATED_EXPLORATION_INFILL
BH-INF-140,MN10,Gumgaon,103.92,407.31,333.59,Mica Schist,31.18,16.54,19.99,8.68,0.1359,0.3706,0.251,33.47,CALIBRATED_EXPLORATION_INFILL
BH-INF-141,MN01,Balaghat,249.45,415.13,163.63,Quartzite,24.55,21.5,25.9,6.52,0.0999,0.3899,0.2556,31.79,CALIBRATED_EXPLORATION_INFILL
BH-INF-142,MN02,Ukwa,845.39,625.65,304.07,Quartzite,29.95,20.22,19.57,5.92,0.0844,0.378,0.2383,30.44,CALIBRATED_EXPLORATION_INFILL
BH-INF-143,MN03,Tirodi,312.11,337.83,415.19,Quartzite,20.61,22.79,28.43,6.08,0.1276,0.4027,0.3507,33.3,CALIBRATED_EXPLORATION_INFILL
BH-INF-144,MN04,Sitapatore,187.87,158.31,181.27,Quartzite,27.96,18.91,24.58,4.96,0.1572,0.4246,0.2676,32.76,CALIBRATED_EXPLORATION_INFILL
BH-INF-145,MN05,Chikla,663.95,442.61,371.44,Mica Schist,36.17,14.41,21.27,9.22,0.137,0.375,0.2458,31.29,CALIBRATED_EXPLORATION_INFILL
BH-INF-146,MN06,Dongri Buzurg,937.26,187.21,148.45,Quartzite,27.08,18.49,24.59,10.83,0.1673,0.4381,0.2668,33.61,CALIBRATED_EXPLORATION_INFILL
BH-INF-147,MN07,Beldongri,287.31,115.95,132.55,Quartzite,23.1,17.82,29.53,4.04,0.1266,0.3883,0.2482,32.29,CALIBRATED_EXPLORATION_INFILL
BH-INF-148,MN08,Kandri,812.35,208.1,136.24,Mica Schist,32.18,13.04,29.71,6.14,0.1397,0.3894,0.2241,33.0,CALIBRATED_EXPLORATION_INFILL
BH-INF-149,MN09,Munsar,492.63,525.88,377.58,Quartzite,19.49,20.58,27.59,3.77,0.1086,0.3836,0.3182,32.56,CALIBRATED_EXPLORATION_INFILL
BH-INF-150,MN10,Gumgaon,182.19,496.43,148.69,Mica Schist,33.82,14.87,21.66,8.18,0.1668,0.4179,0.2343,33.49,CALIBRATED_EXPLORATION_INFILL
BH-INF-151,MN01,Balaghat,348.24,487.48,166.21,Quartzite,24.98,22.39,30.02,8.8,0.0921,0.3765,0.2411,31.34,CALIBRATED_EXPLORATION_INFILL
BH-INF-152,MN02,Ukwa,802.95,575.65,86.67,Quartzite,22.33,19.99,29.79,4.53,0.0881,0.4014,0.2533,32.16,CALIBRATED_EXPLORATION_INFILL
BH-INF-153,MN03,Tirodi,333.84,320.44,283.1,Quartzite,25.32,21.52,23.02,6.25,0.1072,0.3513,0.2466,33.52,CALIBRATED_EXPLORATION_INFILL
BH-INF-154,MN04,Sitapatore,31.09,226.08,228.6,Quartzite,18.92,23.92,30.76,1.46,0.1336,0.394,0.2887,33.73,CALIBRATED_EXPLORATION_INFILL
BH-INF-155,MN05,Chikla,800.19,444.61,265.19,Quartzite,22.93,21.18,26.96,4.82,0.1174,0.4018,0.2913,32.49,CALIBRATED_EXPLORATION_INFILL
BH-INF-156,MN06,Dongri Buzurg,963.4,250.82,240.08,Mica Schist,35.48,9.57,19.36,14.26,0.1613,0.3908,0.2273,34.34,CALIBRATED_EXPLORATION_INFILL
BH-INF-157,MN07,Beldongri,498.8,170.29,249.64,Quartzite,18.0,25.08,31.39,1.27,0.1246,0.4172,0.312,32.61,CALIBRATED_EXPLORATION_INFILL
BH-INF-158,MN08,Kandri,937.29,135.18,386.2,Quartzite,19.79,21.06,29.64,3.7,0.127,0.3948,0.3252,33.62,CALIBRATED_EXPLORATION_INFILL
BH-INF-159,MN09,Munsar,517.41,728.07,179.04,Quartzite,20.92,19.98,25.09,4.62,0.1278,0.3923,0.2775,33.18,CALIBRATED_EXPLORATION_INFILL
BH-INF-160,MN10,Gumgaon,178.46,507.65,296.11,Mica Schist,30.76,15.59,23.14,8.83,0.1419,0.3721,0.2421,34.01,CALIBRATED_EXPLORATION_INFILL
BH-INF-161,MN01,Balaghat,172.99,578.91,85.85,Mica Schist,32.09,14.55,24.0,10.32,0.1196,0.4174,0.2232,31.31,CALIBRATED_EXPLORATION_INFILL
BH-INF-162,MN02,Ukwa,832.29,569.01,275.79,Quartzite,21.57,23.76,31.51,3.51,0.0821,0.4284,0.3107,29.98,CALIBRATED_EXPLORATION_INFILL
BH-INF-163,MN03,Tirodi,538.8,333.82,218.1,Quartzite,21.9,22.7,23.23,5.1,0.1151,0.3773,0.2695,33.8,CALIBRATED_EXPLORATION_INFILL
BH-INF-164,MN04,Sitapatore,232.45,234.37,140.49,Quartzite,25.61,20.23,23.35,5.0,0.1384,0.3974,0.2434,33.93,CALIBRATED_EXPLORATION_INFILL
BH-INF-165,MN05,Chikla,822.73,375.53,64.34,Quartzite,21.57,23.23,25.19,4.11,0.1215,0.4238,0.2824,32.99,CALIBRATED_EXPLORATION_INFILL
BH-INF-166,MN06,Dongri Buzurg,827.95,332.69,265.86,Quartzite,26.9,18.62,28.44,9.25,0.1547,0.3762,0.2553,35.34,CALIBRATED_EXPLORATION_INFILL
